s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,target
641.76,1589.84,1399.23,554.2,2388.04,9074.11,47.35,521.84,2388.02,8154.69,8.3897,391,38.8,23.3672,0
642.22,1585.7,1397.14,553.58,2388.02,9082.74,47.2,522.02,2388.01,8152.23,8.4298,392,38.87,23.3531,0
642.46,1587.12,1401.02,554.57,2388.0,9080.0,47.4,521.67,2388.0,8158.26,8.4078,391,39.02,23.2821,0
642.52,1578.64,1402.33,554.75,2387.98,9077.82,47.31,521.8,2388.01,8154.09,8.449,391,38.89,23.2888,0
642.89,1588.92,1399.35,553.37,2388.02,9081.36,47.41,521.91,2388.02,8153.26,8.4108,393,38.94,23.405,0
642.04,1593.09,1403.33,554.15,2388.01,9079.11,47.36,522.18,2388.05,8161.32,8.4324,394,38.95,23.4238,0
643.29,1591.32,1399.0,554.0,2388.01,9080.67,47.41,521.71,2388.02,8161.38,8.402,394,38.86,23.3006,0
642.35,1593.21,1399.55,554.21,2388.0,9078.07,47.19,522.25,2388.0,8156.19,8.4312,392,38.91,23.3816,0
642.65,1591.18,1400.18,554.27,2388.0,9077.38,47.24,521.85,2388.0,8156.28,8.483,394,39.0,23.3306,0
642.62,1592.53,1402.84,554.44,2388.04,9088.92,47.47,521.49,2388.06,8165.8,8.3968,393,39.12,23.3798,0
642.28,1595.28,1407.96,553.85,2388.01,9080.28,47.41,522.07,2387.98,8159.05,8.3968,392,39.07,23.372,0
642.43,1581.07,1403.39,554.33,2388.04,9082.09,47.25,522.1,2388.07,8154.44,8.4095,393,38.8,23.3743,0
642.63,1589.51,1416.47,554.08,2387.95,9085.52,47.33,521.83,2388.03,8160.81,8.4187,393,38.99,23.4302,0
642.39,1592.28,1402.14,554.17,2388.06,9084.02,47.33,521.54,2388.03,8164.15,8.3952,394,38.9,23.2709,0
642.45,1581.23,1399.59,553.69,2387.98,9083.66,47.2,521.4,2388.05,8159.89,8.4189,392,38.75,23.3331,0
642.42,1585.36,1406.59,554.18,2387.98,9078.92,47.31,521.76,2387.98,8165.53,8.4277,393,38.98,23.3523,0
642.76,1584.02,1404.16,553.91,2388.01,9082.93,47.31,521.89,2387.97,8167.05,8.4071,393,38.98,23.2815,0
642.42,1593.65,1398.69,553.6,2388.04,9086.13,47.33,521.76,2388.03,8163.9,8.4321,394,38.89,23.4849,0
642.37,1575.95,1404.42,554.34,2388.02,9088.3,47.48,522.4,2388.05,8163.55,8.4248,393,38.95,23.313,0
642.99,1585.51,1405.08,554.27,2387.99,9085.55,47.23,521.59,2388.04,8160.96,8.423,393,39.07,23.4418,0
